County,Fire Count,% of Total
RIVERSIDE,4775,9.3846
FRESNO,3103,6.0985
MERCED,1966,3.8639
MADERA,1371,2.6945
SAN BERNARDINO,1349,2.6513
BUTTE,1295,2.5452
SAN DIEGO,1195,2.3486
PLACER,1156,2.272
LOS ANGELES,1064,2.0912
EL DORADO,966,1.8985
SAN LUIS OBISPO,907,1.7826
KERN,837,1.645
SHASTA,822,1.6155
CONTRA COSTA,802,1.5762
SACRAMENTO,764,1.5015
STANISLAUS,763,1.4996
TEHAMA,738,1.4504
MENDOCINO,711,1.3974
SANTA CLARA,708,1.3915
093,702,1.3797
MONTEREY,684,1.3443
ALAMEDA,680,1.3365
SONOMA,656,1.2893
HUMBOLDT,646,1.2696
SAN JOAQUIN,635,1.248
NEVADA,608,1.1949
SISKIYOU,579,1.1379
TULARE,565,1.1104
037,564,1.1085
CALAVERAS,531,1.0436
ORANGE,525,1.0318
San Bernardino,481,0.9453
063,481,0.9453
SOLANO,437,0.8589
TUOLUMNE,433,0.851
Riverside,428,0.8412
071,424,0.8333
105,418,0.8215
049,395,0.7763
SANTA CRUZ,374,0.735
NAPA,356,0.6997
YUBA,328,0.6446
LAKE,318,0.625
Kern,302,0.5935
017,288,0.566
LASSEN,282,0.5542
SANTA BARBARA,273,0.5365
AMADOR,267,0.5248
SAN MATEO,265,0.5208
MARIPOSA,263,0.5169
073,248,0.4874
Lassen,238,0.4678
065,235,0.4619
019,229,0.4501
Los Angeles,229,0.4501
YOLO,227,0.4461
Siskiyou,225,0.4422
089,220,0.4324
San Diego,198,0.3891
061,175,0.3439
051,172,0.338
VENTURA,163,0.3204
Mono,162,0.3184
109,160,0.3145
Plumas,151,0.2968
Modoc,148,0.2909
091,147,0.2889
107,144,0.283
023,108,0.2123
SAN BENITO,105,0.2064
DEL NORTE,103,0.2024
029,102,0.2005
MODOC,100,0.1965
035,99,0.1946
003,97,0.1906
Shasta,94,0.1847
057,94,0.1847
TRINITY,93,0.1828
El Dorado,92,0.1808
Trinity,91,0.1788
KINGS,91,0.1788
SAN FRANCISCO,90,0.1769
Tuolumne,84,0.1651
SUTTER,81,0.1592
Alpine,72,0.1415
Fresno,70,0.1376
INYO,67,0.1317
Inyo,65,0.1277
PLUMAS,57,0.112
015,55,0.1081
Madera,54,0.1061
059,52,0.1022
111,52,0.1022
103,50,0.0983
Tulare,50,0.0983
115,49,0.0963
005,48,0.0943
Sierra,48,0.0943
MARIN,48,0.0943
Imperial,48,0.0943
Placer,46,0.0904
083,46,0.0904
039,42,0.0825
Nevada,41,0.0806
Merced,40,0.0786
027,40,0.0786
053,34,0.0668
007,34,0.0668
COLUSA,33,0.0649
Humboldt,28,0.055
009,27,0.0531
Mariposa,27,0.0531
Ventura,25,0.0491
033,25,0.0491
043,22,0.0432
Stanislaus,21,0.0413
GLENN,21,0.0413
Monterey,20,0.0393
Tehama,18,0.0354
045,17,0.0334
Butte,17,0.0334
Amador,17,0.0334
Orange,16,0.0314
San Luis Obispo,16,0.0314
Santa Barbara,16,0.0314
Lake,14,0.0275
Calaveras,14,0.0275
Glenn,12,0.0236
079,10,0.0197
Del Norte,10,0.0197
Mendocino,10,0.0197
Yuba,10,0.0197
San Diego County,9,0.0177
Sacramento,9,0.0177
Napa,9,0.0177
San Benito,8,0.0157
IMPERIAL,8,0.0157
Colusa,7,0.0138
Sonoma,7,0.0138
021,7,0.0138
Alameda,6,0.0118
Kern County,5,0.0098
San Francisco,5,0.0098
Santa Barbara County,5,0.0098
Monterey County,5,0.0098
Sutter,4,0.0079
Santa Clara,4,0.0079
011,4,0.0079
Yolo,3,0.0059
Santa Cruz,3,0.0059
Orange County,3,0.0059
Kings,3,0.0059
MONO,3,0.0059
Butte County,3,0.0059
Madera County,3,0.0059
Humboldt County,2,0.0039
Marin,2,0.0039
Solano,2,0.0039
San Bernardino County,2,0.0039
Contra Costa,2,0.0039
Riverside County,2,0.0039
Nevada County,2,0.0039
067,2,0.0039
Tehama County,1,0.002
Sutter County,1,0.002
Del Norte County,1,0.002
Trinity County,1,0.002
Yuba County,1,0.002
Los Angeles County,1,0.002
069,1,0.002
Shasta County,1,0.002
Napa County,1,0.002
Sonoma County,1,0.002
Ventura County,1,0.002
San Luis Obispo County,1,0.002
Mariposa County,1,0.002
Lake County,1,0.002
