Feature Group,Count,Columns
Other,195,"FPA_ID, LOCAL_INCIDENT_ID, COMPLEX_NAME, NPL, Mang_Type, Mang_Name, Des_Tp, GAP_Sts, GAP_Prity, EVH, EVT, EVH_1km, EVT_1km, EVC, EVC_1km, NAME, rpms, rpms_1km, GDP, pr_Normal, tmmn_Normal, tmmx_Normal, rmin_Normal, rmax_Normal, sph_Normal, srad_Normal, vpd_Normal, DF_PFS, AF_PFS, HDF_PFS, DSF_PFS, EBF_PFS, EALR_PFS, EBLR_PFS, EPLR_PFS, HBF_PFS, LLEF_PFS, LIF_PFS, LMI_PFS, MHVF_PFS, PM25F_PFS, HSEF, P100_PFS, P200_PFS, LPF_PFS, NPL_PFS, RMP_PFS, TSDF_PFS, TPF, TF_PFS, UF_PFS, WF_PFS, M_WTR, M_WKFC, M_CLT, M_ENY, M_TRN, M_HSG, M_PLN, M_HLTH, SM_C, SM_PFS, EPLRLI, EALRLI, EBLRLI, PM25LI, EBLI, DPMLI, TPLI, LPMHVLI, HBLI, RMPLI, SFLI, HWLI, WDLI, DLI, ALI, HDLI, LLELI, LILHSE, PLHSE, LMILHSE, ULHSE, EPL_ET, EAL_ET, EBL_ET, EB_ET, PM25_ET, DS_ET, TP_ET, LPP_ET, HB_ET, RMP_ET, NPL_ET, TSDF_ET, WD_ET, DB_ET, A_ET, HD_ET, LLE_ET, UN_ET, LISO_ET, POV_ET, LMI_ET, IA_LMI_ET, IA_UN_ET, IA_POV_ET, TC, CC, IAULHSE, IAPLHSE, IALMILHSE, IALMIL_87, IAPLHS_88, IAULHS_89, LHE, IALHE, IAHSEF, CA, NCA, CA_LT20, M_CLT_EOMI, M_ENY_EOMI, M_TRN_EOMI, M_HSG_EOMI, M_PLN_EOMI, M_WTR_EOMI, M_HLTH_102, M_WKFC_103, FPL200S, M_WKFC_105, M_EBSI, UI_EXP, FRG_1km, FRG, GHM, TRACT, RPL_THEMES, RPL_THEME1, EPL_POV, EPL_UNEMP, EPL_PCI, EPL_NOHSDP, RPL_THEME2, EPL_AGE65, EPL_AGE17, EPL_DISABL, EPL_SNGPNT, RPL_THEME3, EPL_MINRTY, EPL_LIMENG, RPL_THEME4, EPL_CROWD, EPL_NOVEH, EPL_GROUPQ, SDI, Annual_etr, Annual_precipitation, Annual_tempreture, Evacuation, pr, tmmn, tmmx, rmin, rmax, sph, vs, th, srad, etr, vpd, pr_5D_mean, tmmn_5D_mean, tmmx_5D_mean, rmin_5D_mean, rmax_5D_mean, sph_5D_mean, vs_5D_mean, th_5D_mean, srad_5D_mean, etr_5D_mean, vpd_5D_mean, pr_5D_min, pr_5D_max, tmmn_5D_max, tmmx_5D_max, rmin_5D_min, rmax_5D_min, sph_5D_min, vs_5D_max, th_5D_max, srad_5D_max, etr_5D_max, vpd_5D_max, source_year"
Fire Weather Index,27,"fm100_Normal, fm1000_Normal, bi_Normal, erc_Normal, THRHLD, EPL_MOBILE, fm100, fm1000, bi, erc, fm100_5D_mean, fm1000_5D_mean, bi_5D_mean, erc_5D_mean, fm100_5D_min, fm1000_5D_min, bi_5D_max, erc_5D_max, tmmn_Percentile, tmmx_Percentile, sph_Percentile, vs_Percentile, fm100_Percentile, bi_Percentile, vpd_Percentile, erc_Percentile, ExoticAnnualGrass"
Administrative,26,"NWCG_REPORTING_AGENCY, NWCG_REPORTING_UNIT_ID, NWCG_REPORTING_UNIT_NAME, SOURCE_REPORTING_UNIT, SOURCE_REPORTING_UNIT_NAME, OWNER_DESCR, STATE, COUNTY, FIPS_CODE, FIPS_NAME, LatLong_State, LatLong_County, GACCAbbrev, GACC_PL, GACC_New fire, GACC_New LF, GACC_Uncont LF, GACC_Type 1 IMTs, GACC_Type 2 IMTs, GACC_NIMO Teams, GACC_Area Command Teams, GACC_Fire Use Teams, EPL_MUNIT, road_county_dis, road_interstate_dis, road_state_dis"
Fire Identity,11,"FOD_ID, SOURCE_SYSTEM_TYPE, SOURCE_SYSTEM, LOCAL_FIRE_REPORT_ID, FIRE_CODE, FIRE_NAME, ICS_209_PLUS_INCIDENT_JOIN_ID, ICS_209_PLUS_COMPLEX_JOIN_ID, MTBS_ID, MTBS_FIRE_NAME, FIRE_YEAR"
Terrain,10,"TRI_1km, TRI, Aspect_1km, Elevation_1km, Elevation, Slope_1km, Aspect, Slope, TPI, TPI_1km"
Vegetation Index,6,"MOD_NDVI_12m, MOD_EVI_12m, NDVI-1day, NDVI_min, NDVI_max, NDVI_mean"
Ecoregion,5,"Ecoregion_US_L4CODE, Ecoregion_US_L3CODE, Ecoregion_NA_L3CODE, Ecoregion_NA_L2CODE, Ecoregion_NA_L1CODE"
Fire Outcome,5,"CONT_DATE, CONT_DOY, CONT_TIME, FIRE_SIZE, FIRE_SIZE_CLASS"
Fire Stations,4,"No_FireStation_1.0km, No_FireStation_5.0km, No_FireStation_10.0km, No_FireStation_20.0km"
Discovery,3,"DISCOVERY_DATE, DISCOVERY_DOY, DISCOVERY_TIME"
Cause,3,"NWCG_CAUSE_CLASSIFICATION, NWCG_GENERAL_CAUSE, NWCG_CAUSE_AGE_CATEGORY"
Geographic Coordinates,3,"LATITUDE, LONGITUDE, geometry"
Infrastructure,3,"road_common_name_dis, road_other_dis, road_US_dis"
Vegetation Types,3,"CheatGrass, Medusahead, PoaSecunda"
Land Cover,2,"Land_Cover, Land_Cover_1km"
Population,2,"Population, Popo_1km"
Climate / EJ,1,Aridity_index
